cell_id,elevation,slope,population,rainfall,poverty_rate,vulnerable_pop_ratio,dist_road_m,dist_health_m,landslide_score,flood_score,weighted_hazard,hazard_score,exposure_score,vulnerability_score,risk_score,risk_category,relocation_priority,suitability_score,carrying_capacity,site_id,geometry_wkt
WAY_HEX_0452,750.0,7.3435818000057616,0,196.0,0.27,0.33,3630.0,6427.3,18.44,64.24,39.05,39.05,15.34,59.19,36.97,Moderate,No Action,47.24,2903,SAFE_SITE_010,"MULTIPOLYGON (((76.427749 11.666213, 76.422198 11.656845, 76.411192 11.656899, 76.405736 11.666322, 76.411287 11.67569, 76.415241 11.675671, 76.414945 11.674934, 76.415428 11.67358, 76.415732 11.672535, 76.417369 11.671707, 76.418654 11.670973, 76.419092 11.670826, 76.419706 11.671169, 76.420299 11.671834, 76.420536 11.672258, 76.420824 11.672381, 76.421624 11.671825, 76.422062 11.671388, 76.422795 11.671174, 76.423497 11.671465, 76.424466 11.671401, 76.424795 11.671317, 76.427749 11.666213)))"
WAY_HEX_0453,750.0,6.948558330125014,0,194.2,0.33,0.37,1503.9,2911.2,14.95,64.02,37.031499999999994,37.03,23.93,65.35,40.18,High,No Action,69.46,1490,SAFE_SITE_011,"MULTIPOLYGON (((76.389179 11.657007, 76.378173 11.65706, 76.372715 11.666482, 76.378265 11.675851, 76.389272 11.675798, 76.394729 11.666376, 76.389179 11.657007)))"
WAY_HEX_0454,750.0,7.2551638419626,0,185.7,0.32,0.28,4403.5,7595.1,16.64,63.03,37.5155,37.52,12.22,59.2,35.35,Moderate,No Action,40.36,1591,SAFE_SITE_012,"MULTIPOLYGON (((76.427749 11.666213, 76.424795 11.671317, 76.42521 11.67121, 76.426548 11.671116, 76.427009 11.670077, 76.427912 11.670021, 76.428474 11.669932, 76.429563 11.666539, 76.429866 11.666457, 76.430827 11.666198, 76.427749 11.666213)))"
WAY_HEX_0456,750.0,7.160942667156945,150,173.6,0.32,0.19,2072.0,5790.9,14.61,61.61,35.76,35.76,23.18,39.29,32.87,Moderate,No Action,59.14,2311,SAFE_SITE_013,"MULTIPOLYGON (((76.409697 11.691639, 76.409668 11.690573, 76.409082 11.690026, 76.408566 11.689729, 76.409697 11.691639)), ((76.411287 11.67569, 76.405831 11.685113, 76.408329 11.68933, 76.408271 11.68912, 76.408584 11.688463, 76.409013 11.687695, 76.409693 11.687708, 76.409946 11.687724, 76.410349 11.688008, 76.410726 11.687793, 76.411096 11.68734, 76.411015 11.686838, 76.411501 11.686412, 76.412194 11.686351, 76.412633 11.686312, 76.412842 11.685356, 76.412611 11.684353, 76.412295 11.683591, 76.412168 11.68294, 76.412134 11.682766, 76.412635 11.682099, 76.413075 11.681898, 76.413915 11.681816, 76.414033 11.681753, 76.413164 11.680198, 76.413383 11.679498, 76.414164 11.678844, 76.414253 11.677725, 76.414372 11.676935, 76.41546 11.676216, 76.415241 11.675671, 76.411287 11.67569)))"
WAY_HEX_0462,750.0,6.703240785261845,0,219.9,0.15,0.35,119.0,694.3,15.54,67.04,38.715,38.72,29.52,34.92,35.01,Moderate,No Action,82.54,3229,SAFE_SITE_014,"MULTIPOLYGON (((76.306673 11.666789, 76.295666 11.666839, 76.290206 11.67626, 76.295753 11.685631, 76.306761 11.685581, 76.312221 11.67616, 76.306673 11.666789)))"
WAY_HEX_0464,750.0,5.9304615830261005,0,255.1,0.43,0.24,170.9,362.9,12.69,71.17,39.006,39.01,29.31,48.84,38.56,Moderate,No Action,83.0,1861,SAFE_SITE_015,"MULTIPOLYGON (((76.273737 11.68573, 76.262729 11.685778, 76.257267 11.695199, 76.262814 11.704571, 76.273823 11.704522, 76.279284 11.695101, 76.273737 11.68573)))"
WAY_HEX_0465,750.0,6.5349918041479835,0,221.1,0.19,0.32,1063.1,1801.5,14.25,67.18,38.06850000000001,38.07,25.71,37.07,34.11,Moderate,No Action,74.48,1797,SAFE_SITE_016,"MULTIPOLYGON (((76.306761 11.685581, 76.295753 11.685631, 76.290293 11.695052, 76.295841 11.704423, 76.306849 11.704373, 76.312309 11.694952, 76.306761 11.685581)))"
WAY_HEX_0467,750.0,6.533085651802609,0,200.0,0.21,0.27,352.3,1113.2,12.07,64.71,35.757999999999996,35.76,28.58,29.16,31.96,Moderate,No Action,81.28,1346,SAFE_SITE_017,"MULTIPOLYGON (((76.356159 11.657164, 76.345153 11.657216, 76.339695 11.666637, 76.345243 11.676007, 76.356251 11.675956, 76.361709 11.666534, 76.356159 11.657164)))"
WAY_HEX_0473,750.0,5.8567011995777944,0,206.3,0.41,0.33,1812.6,3410.2,7.06,65.44,33.331,33.33,22.68,69.2,39.1,Moderate,No Action,67.86,2167,SAFE_SITE_018,"MULTIPOLYGON (((76.339785 11.685429, 76.328777 11.68548, 76.323318 11.694901, 76.328867 11.704272, 76.339875 11.704221, 76.345334 11.694799, 76.339785 11.685429)))"
WAY_HEX_0478,750.0,7.9549657846706525,150,170.6,0.13,0.3,494.1,5152.9,20.95,61.26,39.0895,39.09,29.55,34.03,34.96,Moderate,No Action,68.5,1613,SAFE_SITE_019,"MULTIPOLYGON (((76.405831 11.685113, 76.394823 11.685167, 76.389366 11.694589, 76.394917 11.703958, 76.405925 11.703904, 76.411216 11.694768, 76.410986 11.694496, 76.410275 11.693325, 76.40972 11.692464, 76.409697 11.691639, 76.408566 11.689729, 76.408416 11.689643, 76.408329 11.68933, 76.405831 11.685113)))"
WAY_HEX_0480,750.0,5.65162463060712,0,183.4,0.27,0.2,1109.2,6325.5,2.99,62.76,29.8865,29.89,25.52,36.21,30.16,Moderate,No Action,65.58,1889,SAFE_SITE_020,"MULTIPOLYGON (((76.405925 11.703904, 76.394917 11.703958, 76.38946 11.71338, 76.395011 11.722749, 76.40602 11.722695, 76.410309 11.71529, 76.409314 11.714688, 76.407961 11.714645, 76.406772 11.713221, 76.406412 11.711873, 76.405976 11.711274, 76.405328 11.71082, 76.404799 11.71077, 76.404066 11.71144, 76.403574 11.711631, 76.403252 11.711458, 76.4032 11.71041, 76.40335 11.709283, 76.403897 11.709016, 76.403993 11.708688, 76.403587 11.70831, 76.403309 11.708096, 76.40305 11.707645, 76.403154 11.707276, 76.403521 11.7072, 76.403938 11.706848, 76.404749 11.705786, 76.405243 11.705161, 76.406685 11.705458, 76.407116 11.706054, 76.407228 11.706692, 76.407551 11.707011, 76.407726 11.706943, 76.405925 11.703904)))"
WAY_HEX_0481,750.0,6.546216409734171,150,180.1,0.2,0.2,2189.8,8414.6,10.14,62.37,33.643499999999996,33.64,22.7,32.55,30.09,Moderate,No Action,52.4,2278,SAFE_SITE_021,"MULTIPOLYGON (((76.40602 11.722695, 76.411573 11.732063, 76.422582 11.732009, 76.426592 11.725083, 76.426085 11.724689, 76.425921 11.723577, 76.425003 11.722715, 76.424933 11.721032, 76.423993 11.72006, 76.42305 11.719768, 76.42141 11.719568, 76.420062 11.71841, 76.419059 11.718192, 76.417811 11.718219, 76.417166 11.717651, 76.416435 11.715987, 76.415779 11.714556, 76.415841 11.713251, 76.412612 11.713267, 76.412681 11.714878, 76.411875 11.715381, 76.410755 11.71556, 76.410309 11.71529, 76.40602 11.722695)))"
WAY_HEX_0482,750.0,7.527622322258281,0,186.0,0.24,0.32,3047.6,7950.4,18.95,63.06,38.7995,38.8,17.69,57.32,37.1,Moderate,No Action,46.66,2602,SAFE_SITE_022,"MULTIPOLYGON (((76.40602 11.722695, 76.395011 11.722749, 76.389554 11.732171, 76.395106 11.74154, 76.406116 11.741486, 76.411573 11.732063, 76.40602 11.722695)))"
WAY_HEX_0483,750.0,7.9854237391564205,280,165.2,0.26,0.28,3189.6,9557.7,20.65,60.62,38.6365,38.64,20.0,56.46,37.5,Moderate,No Action,41.68,1586,SAFE_SITE_023,"MULTIPOLYGON (((76.422582 11.732009, 76.423713 11.733917, 76.425315 11.730624, 76.426211 11.726664, 76.427397 11.726128, 76.427269 11.725609, 76.426592 11.725083, 76.422582 11.732009)))"
WAY_HEX_0484,750.0,7.041723864026791,0,159.9,0.27,0.25,3709.1,9434.8,12.21,60.0,33.7155,33.72,15.02,52.13,32.71,Moderate,No Action,41.0,1544,SAFE_SITE_024,"MULTIPOLYGON (((76.422582 11.732009, 76.411573 11.732063, 76.406116 11.741486, 76.411668 11.750854, 76.412428 11.750851, 76.412045 11.748868, 76.412649 11.746066, 76.412376 11.744287, 76.411936 11.742543, 76.411396 11.742384, 76.41054 11.742225, 76.410314 11.742054, 76.410262 11.741532, 76.410448 11.741223, 76.411884 11.739996, 76.41282 11.739499, 76.413371 11.739651, 76.413911 11.740091, 76.416013 11.741788, 76.417531 11.742366, 76.417997 11.7426, 76.418289 11.742453, 76.418632 11.741762, 76.418955 11.741257, 76.422278 11.737611, 76.423415 11.73453, 76.423713 11.733917, 76.422582 11.732009)))"
WAY_HEX_0489,750.0,6.261507034531837,150,221.9,0.27,0.2,1438.7,3366.7,12.05,67.27,36.899,36.9,25.73,29.38,31.67,Moderate,No Action,68.68,2139,SAFE_SITE_025,"MULTIPOLYGON (((76.323407 11.713693, 76.312398 11.713744, 76.306938 11.723165, 76.312487 11.732535, 76.323496 11.732485, 76.328956 11.723063, 76.323407 11.713693)))"
WAY_HEX_0492,750.0,6.306286172822762,0,232.4,0.37,0.2,1815.4,2171.3,13.5,68.51,38.25450000000001,38.25,22.67,38.74,33.7,Moderate,No Action,69.14,1242,SAFE_SITE_026,"MULTIPOLYGON (((76.290467 11.732636, 76.279457 11.732685, 76.273995 11.742106, 76.279544 11.751477, 76.290555 11.751428, 76.296016 11.742007, 76.290467 11.732636)))"
WAY_HEX_0501,750.0,6.767369359172416,0,180.4,0.23,0.25,4429.1,7920.4,12.02,62.41,34.695499999999996,34.7,12.12,43.79,30.2,Moderate,No Action,40.48,2308,SAFE_SITE_027,"MULTIPOLYGON (((76.389648 11.750962, 76.395106 11.74154, 76.389554 11.732171, 76.378544 11.732225, 76.373086 11.741647, 76.375159 11.745145, 76.376516 11.744544, 76.379023 11.745119, 76.381026 11.746339, 76.383896 11.746612, 76.385369 11.747999, 76.386393 11.748398, 76.38833 11.750969, 76.389648 11.750962)))"
WAY_HEX_0502,750.0,5.627716390244034,0,217.4,0.42,0.33,3962.0,5348.3,6.29,66.75,33.497,33.5,14.0,74.89,38.0,Moderate,No Action,50.41,2163,SAFE_SITE_028,"MULTIPOLYGON (((76.329046 11.741855, 76.324868 11.749064, 76.327178 11.748766, 76.330026 11.747697, 76.331612 11.746302, 76.335694 11.744061, 76.336903 11.741818, 76.329046 11.741855)))"
WAY_HEX_0504,750.0,7.334675397919921,0,196.2,0.16,0.38,4830.3,9522.1,18.39,64.26,39.0315,39.03,10.5,61.75,36.15,Moderate,No Action,32.24,1317,SAFE_SITE_029,"MULTIPOLYGON (((76.411668 11.750854, 76.406116 11.741486, 76.395106 11.74154, 76.389648 11.750962, 76.391964 11.75487, 76.393491 11.755405, 76.394266 11.75402, 76.396006 11.75259, 76.398572 11.751519, 76.400738 11.752196, 76.402351 11.753652, 76.405326 11.756905, 76.406221 11.756863, 76.40787 11.757413, 76.411668 11.750854)))"
WAY_HEX_0508,750.0,5.927124683891773,0,244.2,0.27,0.18,5125.4,5493.7,11.54,69.89,37.7975,37.8,9.3,30.79,27.5,Moderate,No Action,41.66,1353,SAFE_SITE_030,"MULTIPOLYGON (((76.307115 11.760748, 76.296104 11.760799, 76.290642 11.770219, 76.296192 11.77959, 76.307203 11.77954, 76.309143 11.776193, 76.311491 11.768138, 76.307115 11.760748)))"
WAY_HEX_0510,750.0,5.594269318871156,150,261.1,0.14,0.19,5967.5,6319.9,10.49,71.87,38.111000000000004,38.11,7.44,18.69,24.05,Moderate,No Action,34.54,3373,SAFE_SITE_031,"MULTIPOLYGON (((76.290642 11.770219, 76.279631 11.770269, 76.274168 11.77969, 76.279718 11.789061, 76.29073 11.789011, 76.296192 11.77959, 76.290642 11.770219)))"
WAY_HEX_0518,750.0,5.699430597661508,280,270.8,0.17,0.18,62.2,2056.1,12.37,73.01,39.658,39.66,32.63,10.73,30.32,Moderate,No Action,78.9,1786,SAFE_SITE_032,"MULTIPOLYGON (((76.223994 11.638964, 76.212988 11.639011, 76.207525 11.64843, 76.213069 11.657803, 76.224077 11.657757, 76.229539 11.648337, 76.223994 11.638964)))"
WAY_HEX_0524,750.0,5.969915629114745,150,240.6,0.21,0.25,350.9,814.5,11.53,69.47,37.603,37.6,30.13,24.97,32.2,Moderate,No Action,81.34,2511,SAFE_SITE_033,"MULTIPOLYGON (((76.240629 11.667082, 76.229621 11.667129, 76.224159 11.676549, 76.229704 11.685922, 76.240713 11.685874, 76.246175 11.676454, 76.240629 11.667082)))"
WAY_HEX_0570,750.0,6.10245857225526,0,240.2,0.36,0.26,2982.1,3790.1,12.6,69.42,38.169000000000004,38.17,17.96,51.77,35.51,Moderate,No Action,58.24,1729,SAFE_SITE_034,"MULTIPOLYGON (((76.273995 11.742106, 76.262985 11.742155, 76.257522 11.751575, 76.263071 11.760947, 76.274082 11.760898, 76.279544 11.751477, 76.273995 11.742106)))"
